cricsheet_name,games,full name,bat_role_det,bat_role,bat_h,bowl_role_det,bowl_role,bowl_h,team,other
Ihsanullah,1,Ihsanullah,Bowler,bowler,right,right arm fast,pace,right,Pakistan,
KH Prajapati,7,Kashyap Prajapati,Top order batter,batter,right,right arm offbreak,spin,right,Oman,
Jatinder Singh,7,Jatinder Singh,Batter,batter,right,right arm offbreak,spin,right,Oman,
Aqib Ilyas,7,Aqib Ilyas,Top order batter,batter,right,right arm offbreak,spin,right,Oman,legbreak googly
Zeeshan Maqsood,5,Zeeshan Maqsood,Opening batter,batter,left,slow left arm orthodox,spin,left,Oman,
Mohammad Nadeem,7,Mohammad Nadeem,Allrounder,allrounder,right,right arm medium fast,pace,right,Oman,
Ayan Khan,7,Ayaan Khan,Allrounder,allrounder,left,slow left arm orthodox,spin,left,Oman,
Shoaib Khan,7,Shoaib Khan,Batter,batter,right,right arm medium,pace,right,Oman,
Naseem Khushi,5,Naseem Khushi,Wicketkeeper batter,batter,right,,,,Oman,wk
Jay Odedra,5,Jay Odedra,Bowling allrounder,allrounder,right,right arm offbreak,spin,right,Oman,
Fayyaz Butt,6,Fayyaz Butt,Bowler,bowler,right,right arm medium fast,pace,right,Oman,
Bilal Khan,7,Bilal Khan,Bowler,bowler,left,left arm medium fast,pace,left,Oman,
Kaleemullah,3,Kaleemullah,Bowler,bowler,right,right arm medium,pace,right,Oman,
Sandeep Goud,2,Sandeep Goud,Allrounder,allrounder,right,right arm medium,pace,right,Oman,
Suraj Kumar,2,Suraj Kumar,Wicketkeeper batter,batter,right,,,,Oman,wk
KJ Coetzer,1,Kyle Coetzer,Top order batter,batter,right,right arm medium fast,pace,right,Scotland,
MA Jones,1,Michael Jones,Top order batter,batter,right,right arm offbreak,spin,right,Scotland,
CS MacLeod,1,Calum MacLeod,Top order batter,batter,right,right arm fast medium,pace,right,Scotland,
RD Berrington,8,Richie Berrington,Top order batter,batter,right,right arm medium fast,pace,right,Scotland,
MH Cross,8,Matthew Cross,Wicketkeeper batter,batter,right,,,,Scotland,wk
CN Greaves,8,Chris Greaves,Bowler,bowler,right,legbreak,spin,right,Scotland,
MA Leask,8,Michael Leask,Allrounder,allrounder,right,right arm offbreak,spin,right,Scotland,
MRJ Watt,8,Mark Watt,Bowler,bowler,left,slow left arm orthodox,spin,left,Scotland,
SM Sharif,7,Safyaan Sharif,Bowler,bowler,right,right arm medium fast,pace,right,Scotland,
CB Sole,8,Chris Sole,Bowler,bowler,right,right arm medium fast,pace,right,Scotland,
Hamza Tahir,1,Hamza Tahir,Bowler,bowler,right,slow left arm orthodox,spin,left,Scotland,
CM McBride,7,Christopher McBride,Top order batter,batter,right,right arm medium,pace,right,Scotland,
BJ McMullen,7,Brandon McMullen,Batting allrounder,allrounder,right,right arm medium,pace,right,Scotland,
HG Munsey,4,George Munsey,Opening batter,batter,left,right arm medium fast,pace,right,Scotland,
TSS Mackintosh,7,Tomas Mackintosh,Middle order batter,batter,right,,,,Scotland,wk
J Jarvis,2,Jack Jarvis,Bowler,bowler,right,right arm medium fast,pace,right,Scotland,
A Neill,1,Adrian Neill,Bowler,bowler,right,right arm medium,pace,right,Scotland,
AC Evans,1,Alasdair Evans,Bowler,bowler,right,right arm medium fast,pace,right,Scotland,
